if
else
while
for
do
switch
case
default
break
continue
return
int
float
double
char
void
long
short
signed
unsigned
const
static
struct
union
enum
typedef
sizeof
extern
register
volatile
auto
goto
include
define
elif
endif
ifdef
ifndef
